"game_id","move","turn","game_turn_id","ad_id","message","expires_in","probability","reward"
"0M0Y5sAU",buy,45,53455,NbAQt3AT,Help defending rocky plains in Blackdean from the intruders,7,Suicide mission,"95"
"0M0Y5sAU",buy,45,53455,"7k8p948f",Help defending village in Voiddale from the intruders,1,Hmmm....,"95"
"0M0Y5sAU",buy,45,53455,zwsBPO0d,Help defending grassland in Highbane from the intruders,1,Rather detrimental,"86"
"0M0Y5sAU",buy,45,53455,DficmSjj,Help defending peninsula in Newwell from the intruders,3,Rather detrimental,"97"
"0M0Y5sAU",buy,45,53455,bSbhR8aX,Help defending village in Greyhill from the intruders,4,Suicide mission,"79"
"0M0Y5sAU",buy,45,53455,xCHLMnCS,Help defending peninsula in Doveloft from the intruders,4,Walk in the park,"78"
"0M0Y5sAU",buy,45,53455,RWxMmtHG,Help defending peninsula in Fanghole from the intruders,4,Walk in the park,"82"
"0M0Y5sAU",buy,45,53455,Am67n8pT,Help defending field in Snowgannon from the intruders,5,Gamble,"100"
"0M0Y5sAU",buy,45,53455,BXkGpC10,Help defending plains in Bloodville from the intruders,6,Gamble,"90"
"0M0Y5sAU",buy,45,53455,zvd1tvDk,Help defending village in Ridgekeep from the intruders,6,Rather detrimental,"83"
"0M0Y5sAU",solve,46,53459,DficmSjj,Help defending peninsula in Newwell from the intruders,2,Rather detrimental,"97"
"0M0Y5sAU",solve,46,53459,w1pWIkue,Help defending church in Orrinhill from the intruders,7,Risky,"68"
"0M0Y5sAU",solve,46,53459,oVnPJ5vP,Help defending church in Lightville from the intruders,7,Walk in the park,"84"
"0M0Y5sAU",solve,46,53459,NbAQt3AT,Help defending rocky plains in Blackdean from the intruders,6,Suicide mission,"95"
"0M0Y5sAU",solve,46,53459,zvd1tvDk,Help defending village in Ridgekeep from the intruders,5,Rather detrimental,"83"
"0M0Y5sAU",solve,46,53459,BXkGpC10,Help defending plains in Bloodville from the intruders,5,Gamble,"90"
"0M0Y5sAU",solve,46,53459,Am67n8pT,Help defending field in Snowgannon from the intruders,4,Hmmm....,"100"
"0M0Y5sAU",solve,46,53459,RWxMmtHG,Help defending peninsula in Fanghole from the intruders,3,Walk in the park,"82"
"0M0Y5sAU",solve,46,53459,xCHLMnCS,Help defending peninsula in Doveloft from the intruders,3,Walk in the park,"78"
"0M0Y5sAU",solve,46,53459,bSbhR8aX,Help defending village in Greyhill from the intruders,3,Suicide mission,"79"
"0M0Y5sAU",buy,58,53499,ooEoSHqM,Help defending church in Whitedean from the intruders,7,Playing with fire,"68"
"0M0Y5sAU",buy,58,53499,IoDaj0S6,Help defending forest in Metalcawl from the intruders,6,Hmmm....,"74"
"0M0Y5sAU",buy,58,53499,oHF71BIh,Help defending hill in Masonscale from the intruders,6,Impossible,"55"
"0M0Y5sAU",buy,58,53499,YiE2bCce,Help defending island in Newloft from the intruders,5,Suicide mission,"88"
"0M0Y5sAU",buy,58,53499,YaWMBE5w,Help defending thicket in Scaleville from the intruders,4,Playing with fire,"78"
"0M0Y5sAU",buy,58,53499,IWRZMoez,Help defending hill in Orrinburg from the intruders,3,Suicide mission,"89"
"0M0Y5sAU",buy,58,53499,d9cMj5Ua,Help defending manor in Bloodfire from the intruders,2,Suicide mission,"72"
"0M0Y5sAU",buy,58,53499,Eh1HOYyy,Help defending manor in Frostgill from the intruders,2,Risky,"86"
"0M0Y5sAU",buy,58,53499,VvYFtx1O,Help defending hill in Thornwater from the intruders,1,Suicide mission,"83"
"0M0Y5sAU",buy,58,53499,cSMvzlbn,Help defending island in Penmere from the intruders,7,Hmmm....,"73"
